episode,timestep,reward
95,2000,20.7789
193,4000,20.3878
273,6000,25.0625
353,8000,24.3125
403,10000,40.36
452,12000,41.6327
496,14000,45.5682
541,16000,44.2
572,18000,64.6452
597,20000,79.64
619,22000,91.8182
637,24000,107.2778
650,26000,155.0
662,28000,164.75
673,30000,181.1818
690,32000,116.9412
702,34000,165.8333
715,36000,156.0769
723,38000,250.625
730,40000,295.8571
735,42000,399.6
743,44000,235.125
748,46000,393.0
754,48000,313.3333
761,50000,314.2857
768,52000,278.8571
773,54000,369.0
779,56000,359.8333
785,58000,341.3333
789,60000,458.5
794,62000,388.4
798,64000,494.75
803,66000,461.8
807,68000,463.75
811,70000,500.0
815,72000,452.5
820,74000,440.0
824,76000,445.5
829,78000,408.0
833,80000,500.0
837,82000,500.0
841,84000,500.0
845,86000,500.0
849,88000,500.0
855,90000,388.6667
859,92000,434.0
863,94000,459.75
868,96000,437.4
873,98000,383.6
877,100000,500.0
881,102000,468.25
886,104000,477.0
890,106000,467.25
895,108000,411.4
899,110000,500.0
903,112000,500.0
907,114000,500.0
911,116000,492.75
915,118000,500.0
919,120000,500.0
923,122000,500.0
927,124000,500.0
931,126000,485.25
935,128000,500.0
939,130000,500.0
943,132000,500.0
947,134000,500.0
951,136000,500.0
955,138000,500.0
959,140000,471.25
963,142000,500.0
967,144000,500.0
971,146000,500.0
975,148000,500.0
979,150000,500.0
983,152000,461.75
988,154000,495.8
992,156000,489.75
996,158000,487.25
1000,160000,500.0
1004,162000,500.0
1008,164000,500.0
1012,166000,500.0
1016,168000,500.0
1020,170000,500.0
1024,172000,465.0
1028,174000,500.0
1032,176000,483.75
1036,178000,484.5
1041,180000,456.0
1045,182000,463.75
1049,184000,500.0
1053,186000,500.0
1057,188000,500.0
1061,190000,500.0
1065,192000,500.0
1069,194000,500.0
1073,196000,500.0
1077,198000,500.0
1081,200000,500.0
1085,202000,492.0
1089,204000,488.5
1093,206000,479.75
1097,208000,500.0
1102,210000,417.8
1108,212000,378.5
1112,214000,437.75
1116,216000,500.0
1120,218000,500.0
1124,220000,500.0
1129,222000,425.2
1133,224000,500.0
1137,226000,500.0
1141,228000,500.0
1145,230000,487.75
1150,232000,387.0
