episode,timestep,reward
645,2000,0.1023
1246,4000,0.1248
1898,6000,0.115
2580,8000,0.132
3314,10000,0.1594
4039,12000,0.1545
4812,14000,0.185
5555,16000,0.214
6254,18000,0.2718
6929,20000,0.2548
7604,22000,0.3526
8259,24000,0.3802
8868,26000,0.5452
9489,28000,0.5749
10134,30000,0.6574
10782,32000,0.7099
11401,34000,0.811
12027,36000,0.8179
12672,38000,0.8527
13315,40000,0.8678
13958,42000,0.8756
14579,44000,0.9098
15213,46000,0.9148
15866,48000,0.9066
16528,50000,0.9305
17186,52000,0.9255
17841,54000,0.9527
18494,56000,0.9602
19146,58000,0.9678
19793,60000,0.9675
20446,62000,0.9724
21100,64000,0.9771
21744,66000,0.9798
22394,68000,0.9769
23036,70000,0.9875
23662,72000,0.9872
24314,74000,0.9893
24968,76000,0.9939
25640,78000,0.9866
